ORDER SIDE,CLOSE TIME,TRADE QUANTITY,CLOSE VALUE,TRADE SYMBOL,LAST RSI,SALDO
Sell,1616081099999.0,0.05,1802.7,ETHUSD,70.57929940480439,0.05
Sell,1616081879999.0,0.05,1811.0,ETHUSD,72.68182019885589,0.0
